FIRE_NAME,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
NEWARK,1992,267.0,D,39.5333,-115.8342,NV
BATES MTN,1992,503.0,E,39.5833,-116.7509,NV
204439,1992,250.0,D,61.8159,-162.7024,AK
FYU NE 148,1992,185.0,D,68.5331,-141.3027,AK
FYU NE 72,1992,790.0,E,67.3664,-143.036,AK
FYUNW59,1992,175.0,D,67.0664,-143.086,AK
232414,1992,35090.0,G,67.3997,-144.636,AK
232412,1992,1040.0,F,65.8997,-143.9025,AK
OTZ NE 35,1992,600.0,E,67.4327,-163.1195,AK
231357,1992,250.0,D,65.466,-161.786,AK
SWEET,1992,200.0,D,43.95258,-116.35079,ID
CEM NW 45,1992,4570.0,F,65.7329,-146.6358,AK
LE GRAND                 ,1992,160.0,D,37.23611111,-120.22388888,CA
SCHOOL                   ,1992,121.0,D,37.49888888,-119.96611111,CA
VISTA #1                 ,1992,600.0,E,37.49805555,-120.60194444,CA
FAI E 40,1992,200.0,D,64.6663,-146.6191,AK
THOMPSON,1992,110.0,D,47.3,-107.884,MT
SNELLING                 ,1992,2080.0,F,37.485,-120.40194444,CA
LOOKING GLASS,1992,410.0,E,46.133387,-115.788352,ID
SHEEP CRK,1992,500.0,E,46.2889,-105.0425,MT
LUIS                     ,1992,560.0,E,37.07888888,-121.07805555,CA
MCNAMARA                 ,1992,500.0,E,37.22111111,-120.46,CA
STEFFAN                  ,1992,138.0,D,37.28111111,-120.35111111,CA
BUCHANAN                 ,1992,160.0,D,37.13388888,-120.01,CA
LONETREE                 ,1992,200.0,D,37.17888888,-120.66194444,CA
RIVER                    ,1992,160.0,D,37.01805555,-120.51694444,CA
GONZAGA                  ,1992,125.0,D,37.05,-121.115,CA
FALLS                    ,1992,100.0,D,37.55805555,-120.32388888,CA
URRUTIA                  ,1992,150.0,D,37.01805555,-119.955,CA
GUNNER                   ,1992,250.0,D,36.91694444,-119.79305555,CA
PASCOAL                  ,1992,135.0,D,37.29388888,-120.16888888,CA
,1992,210.0,D,39.7125,-74.8,NJ
,1992,101.0,D,39.51667,-75.48333,NJ
,1992,250.0,D,39.525,-75.49583,NJ
FORKED RIVER MOUTAIN APR,1992,5284.0,G,39.84167,-74.3,NJ
,1992,1000.0,F,40.02917,-74.5125,NJ
FOUR MILE COLONY,1992,2900.0,F,39.88334,-74.575,NJ
POWER PLANT,1992,4832.0,F,39.82917,-74.25417,NJ
CEDAR CREEK,1992,376.0,E,47.009567,-117.028987,ID
LAKE                     ,1992,130.0,D,37.03305555,-119.66611111,CA
COLEMAN                  ,1992,380.0,E,37.105,-120.04611111,CA
,1992,117.0,D,34.12239816,-94.53739917,OK
JORDAN                   ,1992,480.0,E,37.23611111,-120.22388888,CA
,1992,2335.0,F,45.86938,-120.70597,WA
WRCANYON#2,1992,150.0,D,43.4719,-108.1776,WY
TROUTCRK#2,1992,100.0,D,42.9738,-108.9312,WY
212DAYSCHL,1992,168.3,D,45.0917,-100.4587,SD
,1992,105.0,D,27.45,-82.05,FL
,1992,140.0,D,34.30543017,-89.47589871,MS
,1992,150.0,D,28.31,-81.93,FL
,1992,300.0,E,27.1,-81.34,FL
,1992,120.0,D,27.62,-81.62,FL
,1992,180.0,D,34.64530233,-94.89309682,OK
,1992,300.0,E,34.6598011,-95.15589897,OK
,1992,141.9,D,42.1167,-96.367,NE
ALVORD,1992,7139.0,G,42.5832,-118.5344,OR
BIGROCK CR,1992,1146.0,F,43.6499,-118.6344,OR
TIN CAN,1992,182.0,D,43.4665,-118.501,OR
FISH CR,1992,382.0,E,42.7332,-118.7844,OR
HOME CR,1992,1595.0,F,42.5166,-118.9177,OR
,1992,296.8,D,42.1167,-96.367,NE
,1992,320.0,E,34.68880109,-95.786499,OK
,1992,150.0,D,27.36,-81.6,FL
,1992,260.0,D,34.68880084,-95.71639999,OK
,1992,175.0,D,27.39,-81.65,FL
,1992,180.0,D,27.19,-82.24,FL
,1992,620.0,E,34.68880099,-95.50620281,OK
,1992,150.0,D,48.8694,-99.7351,ND
,1992,240.0,D,29.79,-84.95,FL
BOOTH,1992,142.7,D,45.1083,-100.7588,SD
MARTIN SERIES            ,1992,400.0,E,41.24305555,-123.76194444,CA
,1992,100.0,D,43.150238,-73.727602,NY
,1992,163.0,D,41.871992,-74.591077,NY
,1992,550.0,E,31.89823839,-90.20383208,MS
,1992,363.0,E,31.76936934,-90.63444391,MS
,1992,180.0,D,30.44468458,-88.51556714,MS
,1992,125.0,D,30.58384474,-88.82617973,MS
,1992,125.0,D,37.73881812,-90.42928002,MO
,1992,110.0,D,37.93298687,-92.88119526,MO
PIYAWICONI,1992,3500.0,F,43.3667,-102.3338,SD
,1992,110.0,D,37.70733851,-90.21013727,MO
,1992,155.0,D,37.89881124,-92.54755616,MO
,1992,130.0,D,37.81014535,-91.38999705,MO
RICHARDS,1992,250.0,D,43.0166,-102.8338,SD
WHITERIVER,1992,5969.6,G,43.35,-102.7838,SD
SANDOZ,1992,355.0,E,43.05,-102.8505,SD
ST MARKS,1992,200.0,D,43.4167,-102.5838,SD
ANTLER,1992,150.0,D,44.0833,-99.6171,SD
BUFFALO,1992,100.0,D,44.0833,-99.5962,SD
,1992,200.0,D,27.42,-82.05,FL
,1992,300.0,E,27.23,-82.16,FL
,1992,125.0,D,27.21,-82.02,FL
,1992,1005.0,F,26.97,-80.56,FL
,1992,600.0,E,27.87,-81.37,FL
,1992,250.0,D,40.831903,-72.951348,NY
,1992,140.0,D,42.046704,-74.608982,NY
,1992,190.0,D,44.337648,-74.791307,NY
,1992,100.0,D,26.71,-81.3,FL
MARTIN SERIES            ,1992,200.0,D,41.27305555,-123.67111111,CA
WOODEN                   ,1992,1200.0,F,38.32305555,-122.14305555,CA
,1992,195.0,D,30.70014268,-88.48458046,MS
,1992,175.0,D,30.47406947,-89.37346018,MS
,1992,125.0,D,31.19406785,-90.94094707,MS
,1992,110.0,D,34.74670044,-94.94570142,OK
,1992,181.0,D,31.09528612,-89.44756264,MS
,1992,150.0,D,31.45789308,-90.22573579,MS
,1992,100.0,D,31.44660222,-90.22005164,MS
,1992,126.0,D,31.10530013,-89.57925574,MS
,1992,114.0,D,30.8684137,-88.43820713,MS
,1992,400.0,E,34.65425767,-89.51661596,MS
,1992,175.0,D,34.65598201,-89.60884097,MS
,1992,105.0,D,32.7538109,-89.9022171,MS
SWAN LAKE,1992,188.0,D,42.3332,-121.7011,OR
BLACK HAWK,1992,800.0,E,42.0832,-119.0844,OR
JOHN SPG,1992,1495.0,F,42.3332,-121.3011,OR
LUDI 2,1992,1200.0,F,43.4832,-120.7844,OR
WOLF CRK,1992,120.0,D,42.0665,-123.3678,OR
EAST EVANS,1992,10135.0,G,42.4998,-123.1845,OR
WALKER CR,1992,1280.0,F,42.2332,-122.6178,OR
,1992,260.0,D,34.76119997,-94.98069749,OK
,1992,100.0,D,34.79019971,-95.57630155,OK
GOOSENECK,1992,160.0,D,45.3832,-120.5178,OR
NOOK,1992,1200.0,F,45.6998,-120.5845,OR
,1992,100.0,D,31.72426892,-89.34802442,MS
LARABEE #2               ,1992,340.0,E,40.29194444,-123.67611111,CA
,1992,110.0,D,31.46145124,-89.30370218,MS
,1992,300.0,E,31.43178693,-90.18318828,MS
BORAX                    ,1992,1920.0,F,38.99111111,-122.67611111,CA
75                       ,1992,200.0,D,38.99,-122.97611111,CA
SODA                     ,1992,100.0,D,38.38194444,-122.28888888,CA
,1992,100.0,D,34.67430106,-95.15589902,OK
,1992,125.0,D,34.67430114,-94.96320328,OK
,1992,320.0,E,45.8833,-100.5004,SD
,1992,120.0,D,34.70330011,-95.03330243,OK
,1992,100.0,D,34.70330044,-95.01570137,OK
,1992,640.0,E,34.73229944,-95.54119883,OK
,1992,300.0,E,45.9667,-100.6504,ND
,1992,175.0,D,46.2833,-100.7171,ND
,1992,500.0,E,45.8167,-100.8004,SD
,1992,547.0,E,46.0167,-101.3837,ND
,1992,948.0,E,45.8167,-101.0504,SD
,1992,170.0,D,45.6372,-100.4576,SD
,1992,300.0,E,44.0120697,-107.09870109,WY
,1992,107.0,D,31.02014687,-89.48164662,MS
,1992,180.0,D,30.55820013,-88.8097372,MS
,1992,110.0,D,34.73229982,-94.99819941,OK
,1992,145.5,D,44.04824067,-105.39489729,WY
,1992,100.0,D,34.95507783,-89.36024412,MS
,1992,150.0,D,31.4280754,-90.20852475,MS
,1992,200.0,D,31.42171096,-90.19178463,MS
,1992,130.0,D,31.44650246,-89.00443522,MS
,1992,130.0,D,26.98,-81.41,FL
,1992,500.0,E,26.81,-81.56,FL
,1992,550.0,E,29.78,-85.25,FL
NORTHRIDGE,1992,2000.0,F,48.65,-112.9009,MT
DEL BONITA,1992,100.0,D,48.6667,-112.4176,MT
RDOORECMPX,1992,4000.0,F,48.55,-112.9509,MT
HOOTIE #1,1992,100.0,D,48.6667,-112.4176,MT
,1992,715.0,E,46.77708,-120.83802,WA
,1992,252.0,D,47.71662,-121.21424,WA
STATE 1622,1992,411.0,E,33.8667,-116.9175,CA
RINCON #7,1992,350.0,E,33.25,-116.9509,CA
,1992,800.0,E,40.8332,-121.6678,CA
DRYCREEK I,1992,400.0,E,46.2665,-120.3828,WA
MARKER 44,1992,120.0,D,46.1799,-120.5012,WA
LIZZY,1992,2620.0,F,46.1365,-120.5228,WA
KAYS RD,1992,140.0,D,46.4965,-120.5712,WA
,1992,2261.0,F,46.3382,-120.7595,WA
,1992,655.0,E,47.9249,-118.0594,WA
,1992,183.0,D,47.9249,-117.8427,WA
,1992,138.0,D,47.9249,-117.8594,WA
,1992,150.0,D,47.9416,-117.8594,WA
HANER BUTTE,1992,348.0,E,43.64353,-121.61592,OR
BLUE KETTLE RIDG,1992,348.0,E,45.41464,-118.47201,OR
,1992,1500.0,F,44.64374923,-106.53399654,WY
,1992,4000.0,F,44.62905882,-106.61499799,WY
,1992,120.0,D,44.62905882,-106.53399662,WY
RAILRDCMPX,1992,100.0,D,48.5833,-112.9176,MT
JACKASS BU,1992,1288.0,F,48.3432,-119.5695,WA
,1992,200.0,D,32.39216187,-111.09369171,AZ
ANTELOPE,1992,125.0,D,32.3001,-105.7505,NM
,1992,250.0,D,48.3667,-109.9008,MT
PARROTTS                 ,1992,183.0,D,38.04305555,-120.45888888,CA
HIBACH                   ,1992,400.0,E,38.15611111,-120.88111111,CA
BEAR,1992,107.6,D,45.4,-106.4673,MT
ROSE,1992,116.0,D,45.4667,-106.8173,MT
STENSLAND,1992,194.0,D,48.3075,-105.4244,MT
LONG,1992,178.0,D,48.065,-105.7147,MT
PACHECO                  ,1992,1000.0,F,35.89888888,-119.40194444,CA
KETCHSIDE                ,1992,110.0,D,36.175,-119.16111111,CA
PG&E                     ,1992,130.0,D,36.665,-119.01,CA
CHEM                     ,1992,700.0,E,35.84111111,-119.40111111,CA
LAID OFF,1992,297.0,D,48.05,-108.684,MT
APRILFOOL,1992,735.0,E,48.4667,-108.7674,MT
MIKE,1992,1190.0,F,48.25,-108.334,MT
HAYSTACK,1992,198.0,D,48.45,-108.6507,MT
,1992,800.0,E,45.65,-108.134,MT
AFTON,1992,500.0,E,32.0834,-107.0006,NM
MUNCY,1992,400.0,E,33.8834,-106.6006,NM
COOKES,1992,400.0,E,32.4168,-107.6673,NM
CULP PEAK,1992,155.0,D,32.5001,-107.9673,NM
CARNE,1992,175.0,D,32.2834,-107.5339,NM
HAYMEADOW,1992,12000.0,G,32.4001,-105.8005,NM
MACKDRAW,1992,100.0,D,32.2668,-105.8505,NM
,1992,200.0,D,45.6333,-107.8173,MT
D. SMITH,1992,110.0,D,48.1132,-119.6178,WA
KWEI KWEI,1992,150.0,D,47.9832,-118.7711,WA
SWAWILLA B,1992,250.0,D,47.9382,-118.7728,WA
,1992,200.0,D,45.5219,-96.9351,SD
,1992,100.0,D,45.6908,-97.1643,SD
RIDGE RUNN,1992,1705.0,F,43.0264,-100.9018,SD
WHITE SULPHER SPRING,1992,328.0,E,37.76378703,-80.28189285,WV
BERWIND LAKE,1992,165.0,D,37.26193802,-81.71620175,WV
GAP MILLS,1992,101.0,D,37.56548817,-80.3756318,WV
MILLTOWN,1992,100.0,D,38.04228286,-81.61688504,WV
MEADOW FORK,1992,121.0,D,38.24010735,-81.73590863,WV
GUYANDOTTE RIVER,1992,134.0,D,38.13170102,-82.16329563,WV
ALDRICH BRANCH,1992,144.0,D,37.83193676,-82.04314241,WV
RICH CREEK,1992,100.0,D,37.6871344,-81.95057225,WV
BIRD BRANCH,1992,110.0,D,37.66780955,-82.10760126,WV
ROCKHOUSE FORK,1992,440.0,E,37.70464568,-82.1800018,WV
STAR FORK,1992,117.0,D,37.53234511,-81.92753001,WV
RIGHT FORK TRACE CREEK,1992,130.0,D,37.76829975,-82.14937005,WV
MILL CREEK LEFT FORK,1992,158.0,D,38.09074086,-82.50995286,WV
PINE GAP BRANCH,1992,194.0,D,37.77457106,-82.06717991,WV
BIG BRANCH ROAD,1992,185.0,D,38.01481992,-82.42138725,WV
MORAN,1992,250.0,D,43.6597,-100.4407,SD
MARSHALL,1992,216.0,D,43.2694,-100.8532,SD
,1992,250.0,D,26.26,-81.57,FL
,1992,163.0,D,28.8511,-81.4161,FL
,1992,1200.0,F,29.98,-85.23,FL
,1992,400.0,E,45.6863,-97.3359,SD
,1992,108.5,D,47.4666,-95.6003,MN
,1992,178.0,D,44.36510847,-106.50920117,WY
,1992,150.0,D,44.55561066,-106.75679748,WY
BLACKWATER,1992,1280.0,F,33.4834,-105.1005,NM
WAGNER,1992,160.0,D,33.5834,-104.4339,NM
ASSIST 2,1992,100.0,D,33.2668,-104.4839,NM
ROCK CR 2,1992,956.0,E,44.45525,-117.18519,ID
PARADISE,1992,100.0,D,33.2501,-104.4339,NM
TATAM,1992,100.0,D,33.5001,-103.8838,NM
STONE,1992,160.0,D,32.1834,-104.5838,NM
LF RAKE,1992,100.0,D,33.7668,-103.9505,NM
IRON HOUSE,1992,175.0,D,32.6501,-103.4172,NM
JA 1,1992,1860.0,F,32.2668,-103.4505,NM
POWERLINE,1992,507.0,E,32.2335,-103.6338,NM
,1992,650.0,E,34.7017,-77.8317,NC
NATIONAL,1992,750.0,E,32.5168,-103.7672,NM
BOOT MTN,1992,4940.0,F,48.2149,-119.3111,WA
WHITMORE,1992,6985.0,G,48.1282,-119.2461,WA
,1992,100.0,D,44.68782043,-106.77709965,WY
LUTHER'S,1992,320.0,E,44.8998,-121.1178,OR
MCCORMACK,1992,220.0,D,45.4499,-118.7178,OR
CARNER'S,1992,106.0,D,45.6665,-118.7511,OR
ONEMILE,1992,918.0,E,45.9999,-116.001,ID
MARKER 62,1992,1654.0,F,46.2499,-116.1593,ID
MICHAUD 3,1992,1765.0,F,42.8499,-112.5341,ID
,1992,100.0,D,44.67313001,-106.77709999,WY
,1992,960.0,E,44.68782043,-106.00749987,WY
RATTLESNAK,1992,3250.0,F,48.2449,-119.2678,WA
,1992,150.0,D,35.8517,-75.6483,NC
,1992,185.0,D,35.6483,-76.0583,NC
,1992,150.0,D,34.9083,-79.875,NC
TRIANGLE,1992,700.0,E,41.68,-120.84166667,CA
RANCHO,1992,126.0,D,34.67166667,-119.41833333,CA
PENDOLA,1992,430.0,E,34.53333333,-119.67833333,CA
OSO,1992,250.0,D,34.54833333,-119.76666667,CA
INDIANS,1992,110.0,D,36.095,-121.44166667,CA
GORGE,1992,200.0,D,36.24166667,-121.76333333,CA
SLICKROCK,1992,2480.0,F,35.98083333,-121.35138889,CA
CIENEGA,1992,910.0,E,36.26166667,-121.66666667,CA
SECO,1992,2559.0,F,36.23222222,-121.45972222,CA
PATTON FIELD,1992,125.0,D,35.97777778,-121.35222222,CA
PINAL,1992,300.0,E,36.08361111,-121.39944444,CA
MUDD,1992,700.0,E,40.85611111,-120.88694444,CA
RED ROCK,1992,290.0,D,40.775,-121.505,CA
DAY,1992,500.0,E,41.24277778,-121.42277778,CA
,1992,272.0,D,41.76333333,-122.23666667,CA
,1992,266.0,D,41.71,-123.58,CA
GARVEY,1992,973.0,E,41.82166667,-122.65,CA
ABERDEEN,1992,2000.0,F,36.99,-118.31833333,CA
RAINBOW,1992,8800.0,G,37.55,-119.095,CA
CLEVELAND,1992,24580.0,G,38.775,-120.45,CA
LOVELAND,1992,1550.0,F,32.79055556,-116.73666667,CA
STAR,1992,430.0,E,32.63333333,-116.51666667,CA
BARONA,1992,175.0,D,33.0,-116.8,CA
TIMBER,1992,1385.0,F,41.625,-121.28666667,CA
WILDCAT,1992,1095.0,F,32.91666667,-116.87166667,CA
CAMP,1992,187.0,D,41.595,-121.39166667,CA
,1992,560.0,E,34.37333333,-117.18,CA
,1992,205.0,D,42.145,-120.83166667,OR
,1992,200.0,D,42.55166667,-121.20333333,OR
SAGE FLAT,1992,1095.0,F,44.34055556,-121.52527778,OR
,1992,155.0,D,44.5575,-121.53444444,OR
,1992,604.0,E,44.51805556,-121.53444444,OR
HORSE BUTTE,1992,1580.0,F,43.97333333,-121.22055556,OR
,1992,503.0,E,43.44527778,-121.24944444,OR
,1992,190.0,D,43.57555556,-121.135,OR
GULCH,1992,18000.0,G,38.16833333,-120.60666667,CA
RUBY,1992,3460.0,F,38.125,-120.24,CA
SYCAMORE #13,1992,100.0,D,36.975,-119.32333333,CA
ITALIAN,1992,1422.0,F,37.16333333,-119.415,CA
TRIANGLE,1992,200.0,D,37.52833333,-119.91333333,CA
FOUNTAIN,1992,64000.0,G,40.76166667,-121.98,CA
BARKER,1992,5050.0,G,40.60166667,-123.09833333,CA
