FIRE_NAME,FIRE_YEAR,CAUSE,FIRE_SIZE,LATITUDE,LONGITUDE,STATE
EAST TROUBLESOME,2020,Recreation,193812.0,40.20294639,-106.23871044,CO
MCNALLY,2002,Recreation,150696.0,35.87361111,-118.45805556,CA
SOBERANES,2016,Recreation,132127.0,36.46083333,-121.90055556,CA
WOODBURY,2019,Recreation,123875.0,33.40777778,-111.20972222,AZ
WOODHEAD,2020,Recreation,96614.0,44.75609598,-116.87681334,ID
TURQUOISE LAKE,2010,Recreation,91885.0,62.395,-153.5033,AK
HARRIS,2007,Recreation,90440.0,32.608768,-116.577142,CA
MILLER,2011,Recreation,88835.0,33.14369,-108.36869,NM
MCNAC,2012,Smoking,58501.0,35.9567,-96.4392,OK
MARRE,1993,Smoking,43201.0,34.68666667,-119.95833333,CA
ROPER FIRE,2011,Smoking,41000.0,30.371712,-103.623445,TX
BUCKLE L 2,2006,Smoking,40000.0,34.29083001,-100.28890001,TX
ST MARY'S,2001,Smoking,32960.0,48.3457,-119.4387,WA
RAT,1994,Smoking,29435.0,47.54666667,-120.74333333,WA
PARLIAMENT WF,2017,Smoking,26371.0,25.9514,-81.22,FL
HAYSTACK,1992,Smoking,24400.0,45.66527778,-121.93444444,WA
POTTER #2,2000,Smoking,20000.0,35.6075,-101.66,TX
PENASCO,2002,Smoking,16020.0,32.84166667,-105.61666667,NM
OKS - STARBUCK,2017,Undetermined,662700.0,36.77447,-100.1752,OK
HWY 152,2006,Undetermined,479549.0,35.6678,-101.3708,TX
I-40,2006,Undetermined,427696.0,35.21666667,-100.93333333,TX
MARTIN,2018,Undetermined,416821.2,41.52733,-117.426523,NV
SCU LIGHTNING COMPLEX,2020,Undetermined,396624.0,37.42390497,-121.56771304,CA
CREEK,2020,Undetermined,379895.0,37.20100511,-119.27161265,CA
ANDERSON CREEK FIRE,2016,Undetermined,367740.0,36.923599,-99.056503,OK
PERRYTON,2017,Undetermined,318156.0,36.0865,-100.531,TX
ROCKHOUSE FIRE,2011,Undetermined,314444.0,30.84951667,-104.04602222,TX
RHEA,2018,Undetermined,286196.0,35.8486,-99.213331,OK
